team_abbrev,team_name,city,nickname,url_name,url,image_url,primary_color
JAX,Jacksonville Jaguars,jacksonville,jaguars,jacksonville-jaguars,https://overthecap.com/salary-cap/jacksonville-jaguars/,https://overthecap.com/Logos/Jaguars.gif,#00839C
IND,Indianapolis Colts,indianapolis,colts,indianapolis-colts,https://overthecap.com/salary-cap/indianapolis-colts/,https://overthecap.com/Logos/Colts.gif,#00417E
NYJ,New York Jets,new york,jets,new-york-jets,https://overthecap.com/salary-cap/new-york-jets/,https://overthecap.com/Logos/Jets.gif,#174032
NE,New England Patriots,new england,patriots,new-england-patriots,https://overthecap.com/salary-cap/new-england-patriots/,https://overthecap.com/Logos/Patriots.gif,#00295B
WAS,Washington Football Team,washington,football team,washington-football-team,https://overthecap.com/salary-cap/washington-football-team/,https://overthecap.com/Logos/Football%20Team.gif,#8C001A
CIN,Cincinnati Bengals,cincinnati,bengals,cincinnati-bengals,https://overthecap.com/salary-cap/cincinnati-bengals/,https://overthecap.com/Logos/Bengals.gif,#FF2700
DEN,Denver Broncos,denver,broncos,denver-broncos,https://overthecap.com/salary-cap/denver-broncos/,https://overthecap.com/Logos/Broncos.gif,#FF652B
TB,Tampa Bay Buccaneers,tampa bay,buccaneers,tampa-bay-buccaneers,https://overthecap.com/salary-cap/tampa-bay-buccaneers/,https://overthecap.com/Logos/Buccaneers.gif,#665C50
MIA,Miami Dolphins,miami,dolphins,miami-dolphins,https://overthecap.com/salary-cap/miami-dolphins/,https://overthecap.com/Logos/Dolphins.gif,#006B79
LAC,Los Angeles Chargers,los angeles,chargers,los-angeles-chargers,https://overthecap.com/salary-cap/los-angeles-chargers/,https://overthecap.com/Logos/Chargers.gif,#0080C7
CLE,Cleveland Browns,cleveland,browns,cleveland-browns,https://overthecap.com/salary-cap/cleveland-browns/,https://overthecap.com/Logos/Browns.gif,#4C230E
BAL,Baltimore Ravens,baltimore,ravens,baltimore-ravens,https://overthecap.com/salary-cap/baltimore-ravens/,https://overthecap.com/Logos/Ravens.gif,#2B025B
DAL,Dallas Cowboys,dallas,cowboys,dallas-cowboys,https://overthecap.com/salary-cap/dallas-cowboys/,https://overthecap.com/Logos/Cowboys.gif,#002E4D
ARI,Arizona Cardinals,arizona,cardinals,arizona-cardinals,https://overthecap.com/salary-cap/arizona-cardinals/,https://overthecap.com/Logos/Cardinals.gif,#B10339
SF,San Francisco 49ers,san francisco,49ers,san-francisco-49ers,https://overthecap.com/salary-cap/san-francisco-49ers/,https://overthecap.com/Logos/49ers.gif,#940029
CAR,Carolina Panthers,carolina,panthers,carolina-panthers,https://overthecap.com/salary-cap/carolina-panthers/,https://overthecap.com/Logos/Panthers.gif,#0097C6
DET,Detroit Lions,detroit,lions,detroit-lions,https://overthecap.com/salary-cap/detroit-lions/,https://overthecap.com/Logos/Lions.gif,#006EA1
SEA,Seattle Seahawks,seattle,seahawks,seattle-seahawks,https://overthecap.com/salary-cap/seattle-seahawks/,https://overthecap.com/Logos/Seahawks.gif,#030F1F
NYG,New York Giants,new york,giants,new-york-giants,https://overthecap.com/salary-cap/new-york-giants/,https://overthecap.com/Logos/Giants.gif,#1C2E6C
BUF,Buffalo Bills,buffalo,bills,buffalo-bills,https://overthecap.com/salary-cap/buffalo-bills/,https://overthecap.com/Logos/Bills.gif,#00133F
TEN,Tennessee Titans,tennessee,titans,tennessee-titans,https://overthecap.com/salary-cap/tennessee-titans/,https://overthecap.com/Logos/Titans.gif,#0080C0
CHI,Chicago Bears,chicago,bears,chicago-bears,https://overthecap.com/salary-cap/chicago-bears/,https://overthecap.com/Logos/Bears.gif,#00133F
MIN,Minnesota Vikings,minnesota,vikings,minnesota-vikings,https://overthecap.com/salary-cap/minnesota-vikings/,https://overthecap.com/Logos/Vikings.gif,#240A67
HOU,Houston Texans,houston,texans,houston-texans,https://overthecap.com/salary-cap/houston-texans/,https://overthecap.com/Logos/Texans.gif,#00133F
LV,Las Vegas Raiders,las vegas,raiders,las-vegas-raiders,https://overthecap.com/salary-cap/las-vegas-raiders/,https://overthecap.com/Logos/Raiders.gif,#000000
KC,Kansas City Chiefs,kansas city,chiefs,kansas-city-chiefs,https://overthecap.com/salary-cap/kansas-city-chiefs/,https://overthecap.com/Logos/Chiefs.gif,#C60024
LAR,Los Angeles Rams,los angeles,rams,los-angeles-rams,https://overthecap.com/salary-cap/los-angeles-rams/,https://overthecap.com/Logos/Rams.gif,#003594
GB,Green Bay Packers,green bay,packers,green-bay-packers,https://overthecap.com/salary-cap/green-bay-packers/,https://overthecap.com/Logos/Packers.gif,#294239
PIT,Pittsburgh Steelers,pittsburgh,steelers,pittsburgh-steelers,https://overthecap.com/salary-cap/pittsburgh-steelers/,https://overthecap.com/Logos/Steelers.gif,#000000
ATL,Atlanta Falcons,atlanta,falcons,atlanta-falcons,https://overthecap.com/salary-cap/atlanta-falcons/,https://overthecap.com/Logos/Falcons.gif,#000000
PHI,Philadelphia Eagles,philadelphia,eagles,philadelphia-eagles,https://overthecap.com/salary-cap/philadelphia-eagles/,https://overthecap.com/Logos/Eagles.gif,#002F30
NO,New Orleans Saints,new orleans,saints,new-orleans-saints,https://overthecap.com/salary-cap/new-orleans-saints/,https://overthecap.com/Logos/Saints.gif,#C6A876
